date,kpj,zgj,zdj,spj,zde,zdf,cjl,cjje
2020-01-21,4165.02,4165.02,4113.33,4114.31,-71.52,-1.71,13052750700.0,204586880493.9
2020-01-22,4093.8,4141.18,4046.49,4131.93,17.62,0.43,12675876300.0,208136150791.5
2020-01-23,4093.32,4103.52,3972.39,4003.9,-128.03,-3.1,16035760300.0,250409357700.7
2020-02-03,3639.91,3732.16,3639.91,3688.36,-315.54,-7.88,15755964700.0,243303105385.9
2020-02-04,3652.0,3786.86,3652.0,3785.64,97.28,2.64,21393332800.0,298165767621.4
2020-02-05,3801.1,3866.01,3781.61,3828.53,42.89,1.13,17492552400.0,264042920865.7
2020-02-06,3841.75,3914.92,3806.96,3899.78,71.25,1.86,17646223500.0,262820088451.9
2020-02-07,3879.55,3899.88,3849.71,3899.87,0.09,0.0,15173175900.0,237508816255.6
2020-02-10,3872.37,3920.17,3861.01,3916.01,16.14,0.41,14840696900.0,229625441895.6
2020-02-11,3926.42,3970.52,3915.71,3952.46,36.46,0.93,14344167400.0,219307119361.3
2020-02-12,3945.67,3984.43,3940.67,3984.43,31.97,0.81,12671032100.0,200776706549.8
2020-02-13,3985.88,3999.55,3950.14,3959.92,-24.51,-0.62,14500184300.0,228605964793.4
2020-02-14,3954.23,4001.56,3954.02,3987.73,27.82,0.7,14323980300.0,222895073624.8
2020-02-17,3999.65,4077.45,3999.65,4077.42,89.69,2.25,18277896900.0,273067817277.8
2020-02-18,4069.83,4076.39,4027.79,4057.51,-19.91,-0.49,16323622000.0,242552517334.4
2020-02-19,4049.59,4085.17,4042.85,4051.31,-6.2,-0.15,16904644100.0,257554535729.8
2020-02-20,4062.9,4148.53,4055.81,4144.66,93.35,2.3,21223262400.0,310835589162.3
2020-02-21,4134.87,4184.44,4130.17,4149.49,4.83,0.12,21721360400.0,326564003558.5
2020-02-24,4131.84,4149.01,4097.18,4132.84,-16.65,-0.4,21286930300.0,326387800605.7
2020-02-25,4066.3,4126.71,4020.91,4123.85,-8.98,-0.22,24416783100.0,372213717029.5
2020-02-26,4070.1,4132.78,4061.13,4073.02,-50.84,-1.23,26109406100.0,366022417907.4
2020-02-27,4084.08,4110.53,4067.44,4084.88,11.86,0.29,18129098100.0,282050206371.0
2020-02-28,3988.73,4031.15,3928.07,3940.05,-144.83,-3.55,23027509300.0,330358907265.5
2020-03-02,3968.84,4092.54,3968.84,4069.67,129.62,3.29,21931355900.0,317426205457.1
2020-03-03,4125.14,4147.65,4067.91,4091.36,21.7,0.53,21936977700.0,330802584618.9
2020-03-04,4078.5,4115.26,4060.73,4115.05,23.69,0.58,18242473000.0,281784863844.9
2020-03-05,4150.21,4215.85,4127.04,4206.73,91.67,2.23,23182311500.0,362838831775.5
2020-03-06,4158.2,4181.31,4135.39,4138.51,-68.22,-1.62,17247571700.0,253168631958.9
2020-03-09,4063.08,4063.08,3995.13,3997.13,-141.37,-3.42,20810203500.0,305428730303.8
2020-03-10,3975.23,4093.0,3954.75,4082.73,85.6,2.14,19741640200.0,296184435851.3
2020-03-11,4090.93,4091.27,4028.4,4028.43,-54.3,-1.33,16165611100.0,244990872685.9
2020-03-12,3976.11,3987.43,3926.27,3950.91,-77.52,-1.92,15706045800.0,233152848759.1
2020-03-13,3771.01,3937.18,3765.15,3895.31,-55.6,-1.41,18829672200.0,280213453213.7
2020-03-16,3899.86,3899.86,3720.51,3727.84,-167.47,-4.3,18596826000.0,282836238271.2
2020-03-17,3739.78,3786.89,3618.31,3709.68,-18.16,-0.49,16624612900.0,250824025696.9
2020-03-18,3729.69,3775.85,3636.26,3636.26,-73.43,-1.98,15503754700.0,244127161535.3
2020-03-19,3623.79,3647.99,3503.19,3589.09,-47.16,-1.3,18080740700.0,271827467961.6
2020-03-20,3629.51,3663.95,3588.78,3653.22,64.13,1.79,13960300000.0,211223073323.1
2020-03-23,3542.68,3585.8,3523.79,3530.31,-122.92,-3.36,13710879000.0,197669624970.1
2020-03-24,3598.65,3627.76,3545.45,3625.11,94.81,2.69,14310302100.0,208553840688.5
2020-03-25,3711.48,3732.65,3685.99,3722.52,97.4,2.69,15349595800.0,231561518761.2
2020-03-26,3692.61,3736.25,3681.27,3698.05,-24.47,-0.66,11231066500.0,169336311861.4
2020-03-27,3746.39,3758.78,3709.92,3710.06,12.01,0.32,12406099500.0,186103426334.7
2020-03-30,3657.46,3690.64,3637.59,3674.11,-35.95,-0.97,12687667300.0,180640799409.3
2020-03-31,3708.14,3716.07,3676.2,3686.16,12.04,0.33,11145302500.0,161595510008.2
2020-04-01,3682.3,3731.78,3670.97,3675.08,-11.08,-0.3,11935262000.0,170422568804.4
2020-04-02,3656.32,3734.53,3652.32,3734.53,59.45,1.62,11516820900.0,168893255656.6
2020-04-03,3721.48,3738.83,3698.98,3713.22,-21.31,-0.57,9982508300.0,150132815028.5
2020-04-07,3779.91,3803.63,3772.21,3798.02,84.8,2.28,14277803000.0,207642820316.9
2020-04-08,3776.42,3793.0,3767.29,3780.34,-17.68,-0.47,11138951300.0,161576772320.2
2020-04-09,3798.49,3801.72,3785.31,3792.81,12.47,0.33,10048503200.0,154595318812.8
2020-04-10,3794.84,3824.74,3758.96,3769.18,-23.63,-0.62,10244495600.0,162251233800.7
2020-04-13,3751.71,3769.88,3740.19,3753.26,-15.92,-0.42,7905334300.0,119874303204.6
2020-04-14,3777.83,3825.76,3764.98,3825.7,72.44,1.93,11063758500.0,170612579792.4
2020-04-15,3820.85,3829.8,3793.44,3797.36,-28.34,-0.74,10846198400.0,169700216633.0
2020-04-16,3777.8,3807.36,3774.56,3802.38,5.02,0.13,9594796500.0,147164302056.9
2020-04-17,3831.92,3863.45,3821.42,3839.49,37.11,0.98,13200430100.0,203595267033.5
2020-04-20,3845.46,3853.8,3831.55,3853.46,13.97,0.36,10001311500.0,151924090116.6
2020-04-21,3838.23,3838.23,3780.0,3808.05,-45.41,-1.18,10292188800.0,155077454132.0
2020-04-22,3789.13,3839.38,3782.21,3839.38,31.34,0.82,8589946400.0,135547280790.2
2020-04-23,3851.91,3857.47,3826.56,3829.75,-9.63,-0.25,9550845000.0,142122548831.8
2020-04-24,3826.31,3827.21,3787.07,3796.97,-32.78,-0.86,9484413500.0,138961200282.7
2020-04-27,3808.02,3842.87,3793.77,3822.77,25.8,0.68,9546273500.0,145301151875.0
2020-04-28,3835.35,3859.68,3768.2,3849.15,26.38,0.69,12209347600.0,184179759240.3
2020-04-29,3837.51,3880.74,3833.72,3867.03,17.89,0.46,9585459000.0,151282103744.2
2020-04-30,3880.41,3921.7,3880.41,3912.58,45.55,1.18,13291712500.0,202268288802.3
2020-05-06,3867.26,3937.69,3865.99,3936.25,23.68,0.61,13985567500.0,214935962364.4
2020-05-07,3937.59,3941.48,3915.9,3924.89,-11.36,-0.29,10551464600.0,167207801840.2
2020-05-08,3943.0,3979.66,3935.98,3963.62,38.73,0.99,11694334100.0,190299584716.9
2020-05-11,3974.76,3998.1,3944.5,3960.18,-3.44,-0.09,12267380300.0,193758093899.8
2020-05-12,3961.34,3970.11,3930.21,3960.24,0.06,0.0,9825055400.0,157465780059.9
2020-05-13,3946.64,3972.53,3932.57,3968.25,8.02,0.2,8819066900.0,145563383275.8
2020-05-14,3952.2,3952.2,3924.05,3925.22,-43.04,-1.08,8853000400.0,143499177719.8
2020-05-15,3941.13,3945.2,3907.4,3912.82,-12.4,-0.32,9261838200.0,153301505149.4
2020-05-18,3914.66,3946.43,3898.4,3922.91,10.1,0.26,11280176200.0,188528121367.6
2020-05-19,3963.78,3966.85,3944.07,3956.25,33.34,0.85,9401529100.0,159886222402.2
2020-05-20,3955.71,3955.71,3923.92,3935.22,-21.03,-0.53,10079115000.0,157102533276.1
2020-05-21,3950.6,3951.74,3907.58,3913.79,-21.43,-0.54,9486103300.0,149154142257.8
2020-05-22,3907.58,3907.58,3818.15,3824.06,-89.73,-2.29,10337836000.0,157286504986.3
2020-05-25,3828.32,3835.63,3800.18,3829.32,5.26,0.14,7903332600.0,127011917716.3
